xP4]utt number,xP4]subjses,utterance::time on tape,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,utt proposition number
1,TDC101 S02 child,00:32:46:20,,1,1,q,q,end (•),1
,,,,1,2,floor,re,seq (-),
,,,,1,3,floor,re,seq (-),
,,,,1,4,floor,re,end (•),
2,TDC101 S02 child,00:33:10:22,,2,1,eyes,en,end (•),1
3,TDC101 S02 child,00:33:28:28,,3,1,Mr. Potatohead,en,end (•),1
4,TDC101 S02 child,00:33:35:04,,4,1,Mr. Potatohead,en,end (•),1
5,TDC101 S02 child,00:33:43:16,,5,1,flip,flip,sim (+),1
,,,,5,2,glasses,en,end (•),
6,TDC101 S02 child,00:34:10:14,,6,1,TWIST,ac,end (•),1
7,TDC101 S02 child,00:34:17:29,,7,1,mr. p eyes,en,seq (-),1
,,,,7,2,eyes,sim,end (•),
8,TDC101 S02 child,00:34:20:15,,8,1,Mr. P glasses,en2,sim (+),1
,,,,8,2,Mr. P glasses,en2,seq (-),
,,,,8,3,TRACE NOSE,de1,end (•),
8,TDC101 S02 child,00:34:20:15,,8,1,Mr. P glasses,en2,sim (+),2
,,,,8,2,Mr. P glasses,en2,seq (-),
,,,,8,3,TRACE NOSE,de1,end (•),
9,TDC101 S02 child,00:34:33:05,,9,1,nose area,sim,seq (-),1
,,,,9,2,nose area,sim,seq (-),
,,,,9,3,nose area,sim,seq (-),
,,,,9,4,nose area,sim,end (•),
10,TDC101 S02 child,00:34:50:27,,10,1,mustache,en,end (•),1
11,TDC101 S02 child,00:35:33:05,,11,1,MOVE TO,q,end (•),1
12,TDC101 S02 child,00:35:34:06,,12,1,RELEASE,q,end (•),1
13,TDC101 S02 child,,,13,1,finish,finish,end (•),1
14,TDC101 S02 child,00:35:45:12,,14,1,bow,en,end (•),1
15,TDC101 S02 child,00:35:52:19,,15,1,tongue,pa,seq (-),1
,,,,15,2,HOLD,ac,end (•),
15.5,TDC101 S02 child,13:16:54;00,,15.5,1,potato head,loc,end (•),1
16,TDC101 S02 child,00:36:05:03,,16,1,l eye,sim,seq (-),1
,,,,16,2,r eye,sim,end (•),
17,TDC101 S02 child,00:36:11:03,,17,1,q,q,end (•),1
18,TDC101 S02 child,00:36:16:05,,18,1,ear,sim,end (•),1
19,TDC101 S02 child,00:36:20:25,,19,1,nose,sim,end (•),1
20,TDC101 S02 child,00:36:30:05,,20,1,flip,flip,end (•),1
21,TDC101 S02 child,00:36:47:13,,21,1,flip,flip,end (•),1
21.5,TDC101 S02 child,00:37:04:08,,21.5,1,feet,en,end (•),1
22,TDC101 S02 child,00:37:07:19,,22,1,feet,en,end (•),1
23,TDC101 S02 child,00:37:28:10,,23,1,head,en,end (•),1
24,TDC101 S02 child,00:37:29:03,,24,1,A’s teeth,sim1,,1
,,,,24,2,Mr. Potatohead,lo2,end (•),
24,TDC101 S02 child,00:37:29:03,,24,1,A’s teeth,sim1,,2
,,,,24,2,Mr. Potatohead,lo2,end (•),
25,TDC101 S02 child,00:37:32:26,,25,1,mustache,en2,sim (+),1
,,,,25,2,HOLD,ac1,end (•),
25,TDC101 S02 child,00:37:32:26,,25,1,mustache,en2,sim (+),2
,,,,25,2,HOLD,ac1,end (•),
26,TDC101 S02 child,00:37:41:22,,26,1,CURVED SHAPE,de,end (•),1
27,TDC101 S02 child,00:37:49:13,,27,1,eyes,sim,end (•),1
28,TDC101 S02 child,00:37:51:04,,28,1,eyes,en,sim (+),1
,,,,28,2,flip,flip,end (•),
29,TDC101 S02 child,00:37:56:16,,29,1,Mr. Potatohead,en,seq (-),1
,,,,29,2,Mr. Potatohead,en,seq (-),
,,,,29,3,Mr. Potatohead,en,end (•),
30,TDC101 S02 child,00:38:03:21,,30,1,nose,en,end (•),1
31,TDC101 S02 child,00:38:06:08,,31,1,rejection,rejection,end (•),1
32,TDC101 S02 child,00:38:11:06,,32,1,rejection,rejection,end (•),1
33,TDC101 S02 child,00:38:25:12,,33,1,flourish,flourish,end (•),1
34,TDC101 S02 child,00:38:26:16,,34,1,q,q,end (•),1
35,TDC101 S02 child,00:38:39:10,,35,1,flip,flip,end (•),1
36,TDC101 S02 child,00:39:09:12,,36,1,self,en,end (•),1
37,TDC101 S02 child,00:39:10:14,,37,1,q,q,seq (-),1
,,,,37,2,puzzle surface,en,end (•),
38,TDC101 S02 child,00:39:15:21,,38,1,puzzle,lo1,seq (-),1
,,,,38,2,flip,flip,seq (-),
,,,,38,3,rabbit,en2,seq (-),
,,,,38,4,paint tube,en3,end (•),
38,TDC101 S02 child,00:39:15:21,,38,1,puzzle,lo1,seq (-),2
,,,,38,2,flip,flip,seq (-),
,,,,38,3,rabbit,en2,seq (-),
,,,,38,4,paint tube,en3,end (•),
38,TDC101 S02 child,00:39:15:21,,38,1,puzzle,lo1,seq (-),3
,,,,38,2,flip,flip,seq (-),
,,,,38,3,rabbit,en2,seq (-),
,,,,38,4,paint tube,en3,end (•),
39,TDC101 S02 child,00:39:20:17,,39,1,flourish,flourish,end (•),1
40,TDC101 S02 child,00:39:22:29,,40,1,puzzle piece,en,seq (-),1
,,,,40,2,flip,flip,abt (•),
40.5,TDC101 S02 child,00:39:26:03,,40.5,1,rabbit,ar,seq (-),1
,,,,40.5,2,POUR,ac,end (•),
41,TDC101 S02 child,00:39:36:00,,41,1,flip,flip,end (•),1
42,TDC101 S02 child,00:39:46:12,,42,1,EXTENT,de,end (•),1
43,TDC101 S02 child,00:40:04:14,,43,1,girl rabbit,en,seq (-),1
,,,,43,2,boy rabbit ,en,end (•),
43,TDC101 S02 child,00:40:04:14,,43,1,girl rabbit,en,seq (-),2
,,,,43,2,boy rabbit ,en,end (•),
44,TDC101 S02 child,00:40:51:07,,44,1,CIRCULAR EXTENT,de1,sim (+),1
,,,,44,2,self,ar,seq (-),
,,,,44,3,self,ar,seq (-),
,,,,44,4,q,q,end (•),
44,TDC101 S02 child,00:40:51:07,,44,1,CIRCULAR EXTENT,de1,sim (+),2
,,,,44,2,self,ar,seq (-),
,,,,44,3,self,ar,seq (-),
,,,,44,4,q,q,end (•),
45,TDC101 S02 child,00:40:57:24,,45,1,puzzle,en1,seq (-),1
,,,,45,2,mother,en2,sim (+),
,,,,45,3,wobble,wobble,end (•),
46,TDC101 S02 child,00:41:03:01,,46,1,boy rabbit,en,seq (-),1
,,,,46,2,mother,sim,end (•),
47,TDC101 S02 child,00:41:10:16,,47,1,girl rabbit ,en1,seq (-),1
,,,,47,2,boy rabbit,en2,seq (-),
,,,,47,3,mother,sim2,seq (-),
,,,,47,4,mother,sim2,seq (-),
,,,,47,5,girl rabbit,en2,seq (-),
,,,,47,6,q,q,abt (•),
47,TDC101 S02 child,00:41:10:16,,47,1,girl rabbit ,en1,seq (-),2
,,,,47,2,boy rabbit,en2,seq (-),
,,,,47,3,mother,sim2,seq (-),
,,,,47,4,mother,sim2,seq (-),
,,,,47,5,girl rabbit,en2,seq (-),
,,,,47,6,q,q,abt (•),
47.5,TDC101 S02 child,00:41:15:06,,47.5,1,girl rabbit,ar1,seq (-),1
,,,,47.5,2,boy rabbit,ar2,seq (-),
,,,,47.5,3,wall,pla1/pla2,end (•),
47.5,TDC101 S02 child,00:41:15:06,,47.5,1,girl rabbit,ar1,seq (-),2
,,,,47.5,2,boy rabbit,ar2,seq (-),
,,,,47.5,3,wall,pla1/pla2,end (•),
48,TDC101 S02 child,00:41:20:21,,48,1,girl rabbit,en1/ar2,sim (+),1
,,,,48,2,self,sim1,seq (-),
,,,,48,3,self,sim1,seq (-),
,,,,48,4,wall,pla2,end (•),
48,TDC101 S02 child,00:41:20:21,,48,1,girl rabbit,en1/ar2,sim (+),2
,,,,48,2,self,sim1,seq (-),
,,,,48,3,self,sim1,seq (-),
,,,,48,4,wall,pla2,end (•),
49,TDC101 S02 child,00:41:25:08,,49,1,MOVE UP AND DOWN,ac1,seq (-),1
,,,,49,2,wall,pla1,seq (-),
,,,,49,3,self,en2,end (•),
49,TDC101 S02 child,00:41:25:08,,49,1,MOVE UP AND DOWN,ac1,seq (-),2
,,,,49,2,wall,pla1,seq (-),
,,,,49,3,self,en2,end (•),
50,TDC101 S02 child,00:41:32:05,,50,1,blue,en1,seq (-),1
,,,,50,2,self,en2,seq (-),
,,,,50,3,boy rabbit,sim2,seq (-),
,,,,50,4,self,en2,sim (+),
,,,,50,5,boy rabbit,sim2,seq (-),
,,,,50,6,girl rabbit,en3,seq (-),
,,,,50,7,EXTENT WALL,de4,seq (-),
,,,,50,8,mother,sim3,end (•),
50,TDC101 S02 child,00:41:32:05,,50,1,blue,en1,seq (-),2
,,,,50,2,self,en2,seq (-),
,,,,50,3,boy rabbit,sim2,seq (-),
,,,,50,4,self,en2,sim (+),
,,,,50,5,boy rabbit,sim2,seq (-),
,,,,50,6,girl rabbit,en3,seq (-),
,,,,50,7,EXTENT WALL,de4,seq (-),
,,,,50,8,mother,sim3,end (•),
50,TDC101 S02 child,00:41:32:05,,50,1,blue,en1,seq (-),3
,,,,50,2,self,en2,seq (-),
,,,,50,3,boy rabbit,sim2,seq (-),
,,,,50,4,self,en2,sim (+),
,,,,50,5,boy rabbit,sim2,seq (-),
,,,,50,6,girl rabbit,en3,seq (-),
,,,,50,7,EXTENT WALL,de4,seq (-),
,,,,50,8,mother,sim3,end (•),
50,TDC101 S02 child,00:41:32:05,,50,1,blue,en1,seq (-),4
,,,,50,2,self,en2,seq (-),
,,,,50,3,boy rabbit,sim2,seq (-),
,,,,50,4,self,en2,sim (+),
,,,,50,5,boy rabbit,sim2,seq (-),
,,,,50,6,girl rabbit,en3,seq (-),
,,,,50,7,EXTENT WALL,de4,seq (-),
,,,,50,8,mother,sim3,end (•),
51,TDC101 S02 child,00:41:33:14,,51,1,mother,en,sim (+),1
,,,,51,2,CONNECTED,de,end (•),
52,TDC101 S02 child,00:41:35:19,,52,1,wobble,wobble,end (•),1
53,TDC101 S02 child,00:41:37:15,,53,1,girl rabbit,en,seq (-),1
,,,,53,2,girl rabbit,en,seq (-),
,,,,53,3,q,sim,end (•),
54,TDC101 S02 child,00:41:40:15,,54,1,boy rabbit,en,seq (-),1
,,,,54,2,q,sim,end (•),
55,TDC101 S02 child,00:41:42:07,,55,1,girl rabbit,en,end (•),1
56,TDC101 S02 child,00:41:47:02,,56,1,girl rabbit,en1,seq (-),1
,,,,56,2,q,sim1,seq (-),
,,,,56,3,boy rabbit ,en2,seq (-),
,,,,56,4,q,sim2,seq (-),
,,,,56,5,girl rabbit,en1,end (•),
56,TDC101 S02 child,00:41:47:02,,56,1,girl rabbit,en1,seq (-),2
,,,,56,2,q,sim1,seq (-),
,,,,56,3,boy rabbit ,en2,seq (-),
,,,,56,4,q,sim2,seq (-),
,,,,56,5,girl rabbit,en1,end (•),
57,TDC101 S02 child,00:41:54:12,,57,1,mother,en1/en2,seq (-),1
,,,,57,2,boy rabbit,sim1,seq (-),
,,,,57,3,mother,en1/en2,seq (-),
,,,,57,4,girl rabbit,sim2,seq (-),
,,,,57,5,self,en3,seq (-),
,,,,57,6,girl rabbit,sim3,seq (-),
