view oth element,check,xP4]utt number,utt proposition number,proposition type,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in
,,1.00 ,1,transfer,(experimenter),(put),(toys),floor,
,,2.00 ,1,existence,eyes,(---),,,
,,3.00 ,1,existence,Mr. Potatohead,(---),,,
,,4.00 ,1,existence,Mr. Potatohead,(---),,,
,,5.00 ,1,existence,glasses,(---),,,
,,6.00 ,1,transform,(someone),TWIST,(ph ear),,
,,7.00 ,1,similarity,mr. p eyes,(IS LIKE),eyes,,
,,8.00 ,1,descriptor,(nose),TRACE NOSE,,,
,,8.00 ,2,stat loc,Mr. P glasses,(GOES/BELONGS),,(nose),
,,9.00 ,1,similarity,(ph nose),(IS LIKE),nose area,,
,,10.00 ,1,existence,mustache,(---),,,
,,11.00 ,1,transfer,,,,,
,,12.00 ,1,transform,,,,,
,,13.00 ,1,no prop,,,,,
,,14.00 ,1,stat loc,bow,(GOES/BELONGS),,(potatohead),
,,15.00 ,1,transform,(kubra),HOLD,tongue,,
,,15.50 ,1,stat loc,(ph piece),(GOES/BELONGS),,potato head,
,,16.00 ,1,similarity,(ph eyes),(IS LIKE),l eye,,
,,17.00 ,1,q,,,,,
,,18.00 ,1,similarity,(ph nose (ear)),(IS LIKE),ear,,
,,19.00 ,1,similarity,(ph nose),(IS LIKE),nose,,
,,20.00 ,1,no prop,,,,,
,,21.00 ,1,no prop,,,,,
,,21.50 ,1,existence,feet,(---),,,
,,22.00 ,1,existence,feet,(---),,,
,,23.00 ,1,existence,head,(---),,,
,,24.00 ,1,similarity,(ph teeth),(IS LIKE),A’s teeth,,
,,24.00 ,2,stat loc,(ph teeth),(GOES/BELONGS),Mr. Potatohead,,
,,25.00 ,1,transform,(kubra),HOLD,(potato head),,
,,25.00 ,2,stat loc,mustache,(GOES/BELONGS),,(potato head),
,,26.00 ,1,descriptor,(mustache),TRACE ARC,,,
,,27.00 ,1,similarity,(ph eyes),(IS LIKE),eyes,,
,,28.00 ,1,existence,eyes,(---),,,
,,29.00 ,1,existence,Mr. Potatohead,(---),,,
,,30.00 ,1,existence,nose,(---),,,
,,31.00 ,1,no prop,,,,,
,,32.00 ,1,no prop,,,,,
,,33.00 ,1,no prop,,,,,
,,34.00 ,1,q,,,,,
,,35.00 ,1,no prop,,,,,
,,36.00 ,1,existence,self,(---),,,
,,37.00 ,1,existence,q,(---),,,
,,38.00 ,1,stat loc,(puzzle piece),(GOES/BELONGS),,puzzle,
,,38.00 ,2,existence,rabbit,(---),,,
,,38.00 ,3,existence,paint tube,(---),,,
,,39.00 ,1,no prop,,,,,
,,40.00 ,1,existence,puzzle piece,(---),,,
,,40.50 ,1,transform,rabbit,POUR,(paint),,
,,41.00 ,1,no prop,,,,,
,,42.00 ,1,descriptor,(empty space),TRACE SPACE,,,
,,43.00 ,1,existence,girl rabbit,(---),,,
,,43.00 ,2,existence,boy rabbit ,(---),,,
,,44.00 ,1,descriptor,(puzzle),CIRCULAR EXTENT,,,
,,44.00 ,2,transform,self,(assemble),(puzzle),,
,,45.00 ,1,transform,mother,(ACT ON),v,,
,,46.00 ,1,similarity,boy rabbit,(IS LIKE),mother,,
,,47.00 ,1,existence,girl rabbit ,(---),,,
,,47.00 ,2,similarity,boy rabbit,(IS LIKE),mother,,
,,47.50 ,1,similarity,boy rabbit,(IS LIKE),(dad),,wall | |
,,47.50 ,2,stat loc,(dad),(BELONGS/GOES),,other room,wall | |
,,48.00 ,1,similarity,girl rabbit,(IS LIKE),self,,
,,48.00 ,2,perform,girl rabbit,(paints),,,wall | |
,,49.00 ,1,transform,(rabbit),MOVE UP AND DOWN,(paintbrush),,wall | |
,,49.00 ,2,similarity,self,(IS LIKE),(rabbit),,
,,50.00 ,1,existence,blue,(---),,,
,,50.00 ,2,similarity,self,(IS LIKE),boy rabbit,,
,,50.00 ,3,similarity,girl rabbit,(IS LIKE),mother,,
,,50.00 ,4,descriptor,(wall),EXTENT WALL,,,
(aysenur),,51.00 ,1,descriptor,mother,CONNECTED,,,
,,52.00 ,1,no prop,,,,,
,,53.00 ,1,similarity,girl rabbit,(IS LIKE),q,,
,,54.00 ,1,similarity,boy rabbit,(IS LIKE),q,,
,,55.00 ,1,existence,girl rabbit,(---),,,
,,56.00 ,1,similarity,girl rabbit,(IS LIKE),q,,
,,56.00 ,2,similarity,boy rabbit ,(IS LIKE),q,,
,,57.00 ,1,similarity,mother,(IS LIKE),boy rabbit,,
,,57.00 ,2,similarity,mother,(IS LIKE),girl rabbit,,
,,57.00 ,3,similarity,self,(IS LIKE),girl rabbit,,
,,58.00 ,1,similarity,hair,(IS LIKE),puzzle panel,,
,,58.00 ,2,stat poss,(hair),(BELONGS TO),,girl rabbit,
,,59.00 ,1,transform,(aysenur),HOLD,(paint can),,
,,59.00 ,2,transform,(aysenur),MOVE CIRCLE,(paintbush),,
,,59.00 ,3,transform,(aysenur),MOVE UP AND DOWN/PAINT,(paintbrush),,
,,60.00 ,1,transform,(aysenur),HOLD,(paint tube),,
,,60.00 ,2,existence,left hand,(---),,,
,,61.00 ,1,transfer,(someone),(give),q,self,
,,62.00 ,1,transform,(aysenur),ROTATE,(toy),,
,,62.00 ,2,transform,(aysenur),HOLD,(toy),,
,,63.00 ,1,existence,q,(---),,,
,,64.00 ,1,existence,pm toy,(---),,,
,,65.00 ,1,existence,pm toy,(---),,,
,,66.00 ,1,no prop,,,,,
,,67.00 ,1,q,,,,,
,,67.50 ,1,existence,play area,(---),,,
,,68.00 ,1,existence,chair,(---),,,
,,68.50 ,1,no prop,,,,,
,,69.00 ,1,similarity,pm person,(IS LIKE),self,,
,,69.00 ,2,descriptor,hair,TRACE HAIR,,,
,,70.00 ,1,similarity,pm person,(IS LIKE),hair,,
,,70.50 ,1,transfer,pm person,MOVE UP,(spoon),(mouth),
,,71.00 ,1,transform,(aysemur),POUR,(cup),,
,,72.00 ,1,transform,(someone),PUT IN,(pm toy),,(bag) | |
,,72.00 ,2,transfer,(mother),GIVE,(pm toy),(aysenur),
,,73.00 ,1,no prop,,,,,
,,74.00 ,1,existence,pm plant,(---),,,
,,75.00 ,1,existence,pm plant,(---),,,
,,76.00 ,1,existence,pm plant,(---),,,
,,77.00 ,1,existence,pm cabinet/lamp,(---),,,
,,78.00 ,1,existence,q,(---),,,
,,79.00 ,1,existence,q,(---),,,
,,80.00 ,1,existence,pm pot,(---),,,
,,81.00 ,1,no prop,,,,,
,,82.00 ,1,no prop,,,,,
,,83.00 ,1,no prop,,,,,
,,84.00 ,1,existence,pm lamp,(---),,,
,,85.00 ,1,existence,self,(---),,,
,,86.00 ,1,existence,self,(---),,,
,,86.50 ,1,no prop,,,,,
,,87.00 ,1,no prop,,,,,
,,88.00 ,1,no prop,,,,,
,,89.00 ,1,no prop,,,,,
,,90.00 ,1,existence,pm tv,(---),,,
,,91.00 ,1,similarity,TV,(IS LIKE),pm TV,,
,,92.00 ,1,perform,(someone),SLEEP,,,
,,93.00 ,1,perform,self,(sleeps),,,pm beds | |
,,94.00 ,1,existence,couch,(---),,,
,,95.00 ,1,existence,pm toys ,(---),,,
,,96.00 ,1,existence,instruction sheet,(---),,,
,,97.00 ,1,existence,instruction sheet 1,(---),,,
,,97.00 ,2,existence,instruction sheet 2,(---),,,
,,97.00 ,3,existence,instruction sheet 3,(---),,,
,,97.00 ,4,existence,instruction sheet 4,(---),,,
,,98.00 ,1,no prop,,,,,
