xP4]utt number,xP4]subjses,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in,view oth element,xP4]utt number,utt proposition number,proposition type
1.00 ,TDC101 S02 child,,1,1,q,q,end (•),(experimenter),(put),(toys),floor,,,1.00 ,1,transfer
,,,1,2,floor,re,seq (-),,,,,,,,,
,,,1,3,floor,re,seq (-),,,,,,,,,
,,,1,4,floor,re,end (•),,,,,,,,,
2.00 ,TDC101 S02 child,,2,1,eyes,en,end (•),eyes,(---),,,,,2.00 ,1,existence
3.00 ,TDC101 S02 child,,3,1,Mr. Potatohead,en,end (•),Mr. Potatohead,(---),,,,,3.00 ,1,existence
4.00 ,TDC101 S02 child,,4,1,Mr. Potatohead,en,end (•),Mr. Potatohead,(---),,,,,4.00 ,1,existence
5.00 ,TDC101 S02 child,,5,1,flip,flip,sim (+),glasses,(---),,,,,5.00 ,1,existence
,,,5,2,glasses,en,end (•),,,,,,,,,
6.00 ,TDC101 S02 child,,6,1,TWIST,ac,end (•),(someone),TWIST,(ph ear),,,,6.00 ,1,transform
7.00 ,TDC101 S02 child,,7,1,mr. p eyes,en,seq (-),mr. p eyes,(IS LIKE),eyes,,,,7.00 ,1,similarity
,,,7,2,eyes,sim,end (•),,,,,,,,,
8.00 ,TDC101 S02 child,,8,1,Mr. P glasses,en2,sim (+),(nose),TRACE NOSE,,,,,8.00 ,1,descriptor
,,,8,2,Mr. P glasses,en2,seq (-),,,,,,,,,
,,,8,3,TRACE NOSE,de1,end (•),,,,,,,,,
8.00 ,TDC101 S02 child,,8,1,Mr. P glasses,en2,sim (+),Mr. P glasses,(GOES/BELONGS),,(nose),,,8.00 ,2,stat loc
,,,8,2,Mr. P glasses,en2,seq (-),,,,,,,,,
,,,8,3,TRACE NOSE,de1,end (•),,,,,,,,,
9.00 ,TDC101 S02 child,,9,1,nose area,sim,seq (-),(ph nose),(IS LIKE),nose area,,,,9.00 ,1,similarity
,,,9,2,nose area,sim,seq (-),,,,,,,,,
,,,9,3,nose area,sim,seq (-),,,,,,,,,
,,,9,4,nose area,sim,end (•),,,,,,,,,
10.00 ,TDC101 S02 child,,10,1,mustache,en,end (•),mustache,(---),,,,,10.00 ,1,existence
11.00 ,TDC101 S02 child,,11,1,MOVE TO,q,end (•),,,,,,,11.00 ,1,transfer
12.00 ,TDC101 S02 child,,12,1,RELEASE,q,end (•),,,,,,,12.00 ,1,transform
13.00 ,TDC101 S02 child,,13,1,finish,finish,end (•),,,,,,,13.00 ,1,no prop
